probIn scale
0.5693699 0.0005464834
0.5638084 0.000539199
0.5555296 0.0005479404
0.5648721 0.0005474199
0.5730277 0.0005365002
0.5782709 0.0005325946
0.5592473 0.0005317582
0.5773606 0.0005348481
0.5905909 0.0005312988
0.5834973 0.0005292256
0.5830824 0.0005226353
0.5967038 0.0005234783
0.5933326 0.0005248543
0.5841269 0.0005240204
0.5808164 0.000522172
0.5843758 0.0005256038
0.5783892 0.000511239
0.5811469 0.0005176686
0.5796593 0.0005208954
0.5958244 0.0005217312
0.600506 0.0005093804
0.5969037 0.0005096369
0.5983322 0.0005125492
0.5989696 0.0005066466
0.5991072 0.0005016254
0.5994928 0.0004982473
0.6189583 0.0004946001
0.6145548 0.0004904096
0.6209576 0.0004910966
0.6036816 0.0004940068
0.6053655 0.0004922248
0.5999668 0.0004803213
0.5982028 0.0004807614
0.5954656 0.000483841
0.6038512 0.000484523
0.6005141 0.0004824609
0.5974216 0.0004843393
0.6058043 0.0004772725
0.6260427 0.0004814742
0.6278632 0.0004822305
0.6332968 0.0004833463
0.6293029 0.0004785874
0.6188184 0.0004749044
0.6246258 0.0004741728
0.6218049 0.000472166
0.6064046 0.0004744199
0.6171882 0.0004796155
0.6264964 0.0004862737
0.6198009 0.0004863114
0.6365688 0.0004770265
0.6374153 0.0004755408
0.6170926 0.0004630559
0.6106338 0.0004712158
0.6097648 0.0004692486
0.6012632 0.000473427
0.6021246 0.0004720449
0.5933182 0.0004741753
0.6035466 0.0004727832
0.59912 0.0004788427
0.6013399 0.0004821913
0.6134007 0.0004817784
0.6228805 0.0004819633
0.6253098 0.0004869169
0.6261809 0.0004894748
0.6112864 0.0004968365
0.6175891 0.0004948816
0.6030677 0.0004960661
0.6119373 0.0004976125
0.6123941 0.0004945552
0.6164089 0.0004933044
0.5982915 0.0004938695
0.6133318 0.0005058236
0.624289 0.0005093075
0.6233711 0.0004999425
0.6305926 0.0005060246
0.6277069 0.0005131862
0.6376193 0.0005137091
0.6366322 0.0005231842
0.6483906 0.0005254266
0.6361802 0.0005237652
0.6278284 0.0005231173
0.6142066 0.0005219321
0.6140493 0.0005216243
0.6260653 0.0005250932
0.6179115 0.0005318058
0.6093716 0.0005188801
0.6086583 0.0005204731
0.6004724 0.0005274578
0.6024782 0.0005273276
0.6026456 0.0005276289
0.5919646 0.0005372427
0.5988759 0.0005267059
0.5898006 0.0005342461
0.5859728 0.00053218
0.5765928 0.0005420275
0.5864782 0.00053782
0.5895334 0.0005412002
0.5887806 0.0005404745
0.5838054 0.0005524237
0.5730209 0.0005507094
0.5895869 0.0005471147
0.5856084 0.0005582058
0.5812755 0.0005546338
0.5882907 0.0005574023
0.5897984 0.0005568728
0.5853764 0.0005460819
0.588044 0.0005477813
0.5816731 0.000547037
0.5917541 0.0005492561
0.5855355 0.0005515878
0.5982755 0.0005508002
0.5974928 0.0005386947
0.5983377 0.0005472914
0.6041069 0.000553392
0.5957348 0.0005499178
0.6039338 0.0005536786
0.6012244 0.0005487577
0.6027156 0.0005499714
0.60975 0.0005456544
0.6139969 0.0005502376
0.6113967 0.0005612562
0.602242 0.0005593537
0.5955377 0.0005576915
0.5966597 0.0005602968
0.6039841 0.0005549689
0.5999137 0.0005451132
0.6027823 0.000539115
0.6108841 0.0005378519
0.6011238 0.0005377117
0.6042483 0.0005377112
0.59065 0.0005439097
0.5997742 0.0005473287
0.5985106 0.0005439181
0.6126121 0.0005284294
0.6081922 0.0005292718
0.6059365 0.00052793
0.6060397 0.0005181844
0.6043564 0.0005147866
0.5971345 0.0005166132
0.5858946 0.0005248343
0.5955628 0.0005253992
0.5963755 0.0005228791
0.5942492 0.0005224138
0.5869501 0.0005167167
0.5869143 0.0005149365
0.5828787 0.0005106443
0.5700486 0.0005107587
0.5673766 0.0005143719
0.5709497 0.000510488
0.5820975 0.0005092936
0.5732775 0.0005115535
0.5675464 0.0005253772
0.5648069 0.0005131052
0.5636298 0.0005140293
0.5615351 0.0005107473
0.5745663 0.0005207333
0.5711668 0.0005202079
0.5666421 0.0005233761
0.5733932 0.0005237435
0.5733799 0.0005201705
0.5660122 0.0005158539
0.5548017 0.0005148084
0.5651361 0.0005038785
0.5564931 0.0005128762
0.5642275 0.0005089608
0.5665424 0.0005115917
0.5660032 0.0004969819
0.5650079 0.0004994936
0.5731723 0.0005112344
0.5712405 0.00051068
0.5741049 0.0005150683
0.560659 0.0005224639
0.5607236 0.0005129888
0.5761625 0.0005234244
0.5706466 0.0005274858
