probIn varB
0.2370105 0.0003985899
0.2248907 0.0004136058
0.2308141 0.0004103096
0.2295395 0.0004212908
0.2329485 0.0004238884
0.2336528 0.0004166331
0.2347566 0.0004166648
0.2325198 0.0004025015
0.2348458 0.0004125193
0.2211979 0.0004157449
0.2256192 0.0004041717
0.2204862 0.0004145648
0.22572 0.000402935
0.2300056 0.000402424
0.2437033 0.0003986842
0.2375701 0.000408544
0.2265136 0.0004254045
0.2350965 0.0004157754
0.2297939 0.0004264548
0.2291544 0.0004435047
0.2255069 0.0004456394
0.2277366 0.0004504051
0.2260407 0.0004376067
0.2151811 0.000439393
0.2306613 0.0004485558
0.2211329 0.0004538009
0.2238391 0.0004531386
0.2256852 0.0004462634
0.2293883 0.000444505
0.2302501 0.0004418623
0.2368799 0.000436775
0.2369973 0.0004417934
0.2339739 0.0004502543
0.2407602 0.0004367558
0.2339341 0.000425279
0.2369066 0.0004302475
0.2414488 0.0004191164
0.2413112 0.0004046083
0.2452063 0.0003982314
0.2426395 0.000380627
0.2522678 0.0003668389
0.2564949 0.0003675432
0.2514417 0.0003645844
0.2501951 0.0003670423
0.2543505 0.0003736403
0.2487444 0.0003832026
0.2442647 0.0003788779
0.2470078 0.0003993286
0.248898 0.0003947733
0.2437877 0.0003986648
0.2375795 0.000394167
0.2422268 0.0003905163
0.2418486 0.0003880901
0.2488866 0.0003965613
0.2617647 0.0003773803
0.2604739 0.0003819724
0.2624553 0.0003711431
0.2674196 0.0003738815
0.251884 0.0003781573
0.2610974 0.000376637
0.255318 0.0003717605
0.2634135 0.0003735204
0.2598951 0.0003757616
0.2554693 0.000374716
0.2569784 0.0003927216
0.2541693 0.0003973125
0.2602551 0.0003914833
0.272981 0.0003758953
0.2668668 0.0003780714
0.2772005 0.0003624049
0.2837878 0.0003722034
0.2800442 0.0003646986
0.2768362 0.0003715948
0.2702572 0.0003742505
0.2673172 0.0003813314
0.2657359 0.0003540263
0.2743098 0.0003389823
0.2802518 0.0003414252
0.2752632 0.0003444923
0.2788965 0.0003548405
0.2711923 0.0003660963
0.2667703 0.0003738081
0.2644671 0.0003721103
0.2629127 0.0003808417
0.2674453 0.0003672518
0.2560672 0.0003613125
0.2549276 0.0003609259
0.2675416 0.0003485263
0.263077 0.0003557373
0.2570816 0.0003670009
0.2579387 0.0003714735
0.2646548 0.0003577549
0.2663263 0.0003721004
0.2624583 0.0003621751
0.2681317 0.0003635816
0.2607564 0.0003706569
0.2573944 0.0003571065
0.2609505 0.0003602158
0.2512563 0.0003661752
0.259579 0.0003513644
0.2646034 0.000357412
0.2610661 0.0003408738
0.2564253 0.0003569876
0.2629723 0.0003459635
0.2634966 0.0003613301
0.262083 0.000357618
0.2634839 0.000367183
0.2703195 0.0003721662
0.2656577 0.0003711559
0.2605199 0.0003861022
0.2575379 0.0003830699
0.2626649 0.0003857057
0.2578943 0.0003838953
0.2563918 0.0004085594
0.2632226 0.0004024974
0.2708556 0.0003953852
0.266444 0.0004037577
0.27075 0.0003989616
0.2741356 0.0003988054
0.2763057 0.0003881915
0.2838671 0.000372966
0.2759547 0.0003786601
0.2748744 0.0003895094
0.2832849 0.0003768706
0.2853883 0.0003673328
0.2851746 0.0003699764
0.2829083 0.0003643792
0.2834831 0.0003539824
0.2913736 0.0003542992
0.30027 0.0003470862
0.3044203 0.0003376619
0.3049328 0.0003251553
0.3082714 0.0003254862
0.3061207 0.0003131256
0.3156992 0.0003210479
0.3239478 0.0003274582
0.3222723 0.0003161539
0.3232693 0.0003024187
0.3270735 0.0002997792
0.3236915 0.0002986322
0.3271044 0.0003071977
0.3199421 0.0003158919
0.3252139 0.0003087188
0.3219636 0.0003130576
0.3178113 0.0003048788
0.3182398 0.0003014796
0.3113746 0.0003271608
0.3085022 0.0003315842
0.29854 0.0003340193
0.3045034 0.0003288938
0.3015884 0.0003216094
0.302458 0.0003276283
0.2984425 0.000331899
0.294665 0.0003364157
0.3015795 0.0003283442
0.3016975 0.0003247238
0.313346 0.00032655
0.3129426 0.0003340874
0.3010932 0.0003433634
0.2945298 0.0003358935
0.2971547 0.0003299592
0.2955654 0.0003414566
0.2965926 0.0003250662
0.2945303 0.0003227173
0.2990426 0.0003336199
0.2887982 0.0003338517
0.2990094 0.0003271347
0.2993576 0.0003296772
0.3024222 0.0003261
0.2987201 0.0003307258
0.2903194 0.0003342344
0.2963056 0.0003391276
0.2835999 0.0003398069
0.293195 0.0003339137
0.2818504 0.0003401792
0.2919745 0.0003397455
0.2806263 0.0003557067
0.2835625 0.0003522459
0.2881495 0.0003617868
0.2832749 0.0003492914
0.2819856 0.0003558195
0.2867864 0.0003504486
0.2866821 0.0003571366
0.2966668 0.0003484094
0.2922054 0.0003504687
0.2925041 0.0003444322
0.3019263 0.0003428564
0.2941635 0.0003515971
0.2905934 0.0003490142
0.2854911 0.0003467316
0.2944923 0.0003608207
0.2920376 0.0003603204
0.2947456 0.0003642054
0.2938262 0.0003570276
0.295054 0.0003491085
0.2980708 0.0003632335
0.2837855 0.0003749698
0.2923495 0.0003705428
0.2876582 0.0003692773
0.2907703 0.0003661563
0.288717 0.0003712064
0.2938725 0.0003708781
0.2822301 0.0003729033
0.2759848 0.0003924379
0.2830327 0.0003940615
0.2807742 0.0003861781
0.2779314 0.0003773041
0.2804048 0.0003628184
0.2776451 0.0003645274
0.2789396 0.0003739861
0.2825343 0.0003581254
0.2915878 0.0003612601
0.2871695 0.0003494816
0.2830317 0.0003418863
0.2841734 0.0003583173
0.2808527 0.000339314
0.2889515 0.000348648
0.2900049 0.0003481823
0.2930279 0.000348494
0.2961101 0.0003523906
0.2954025 0.000363609
0.2931712 0.0003703909
0.2952038 0.0003578868
0.2913413 0.0003623422
0.2956384 0.0003542993
0.2921325 0.0003492484
0.2923874 0.0003499762
0.2973039 0.000346867
0.2943158 0.0003517375
0.3062755 0.0003465401
0.3071543 0.000341614
0.3183001 0.0003419417
0.31925 0.0003425329
0.31424 0.0003425911
0.3153114 0.0003414331
0.3101297 0.0003423017
0.3080585 0.0003347943
0.3154033 0.0003300209
0.3131017 0.0003446572
0.3078946 0.0003389681
0.3032377 0.0003465792
0.305084 0.0003601843
0.2955592 0.0003488013
0.2990011 0.0003491073
0.3021548 0.0003516062
0.3011325 0.0003420432
0.2934891 0.0003531794
0.3015442 0.0003510325
0.2921412 0.0003586747
0.2930129 0.0003637023
0.288836 0.0003461433
0.2879144 0.0003596102
0.2930198 0.0003613845
0.288407 0.0003577265
0.2923607 0.0003571176
0.3008213 0.0003496629
0.3083496 0.0003547345
0.302098 0.0003677805
0.3038147 0.0003692509
0.2864821 0.0003762208
0.2941958 0.0003589936
0.2933386 0.0003603544
0.2959139 0.0003602446
0.2970582 0.0003649038
0.3009858 0.0003625562
0.2888051 0.0003623032
0.2902126 0.000359554
0.3031543 0.0003486433
0.3001451 0.0003361142
0.3099629 0.0003448477
0.3132693 0.0003399012
0.298103 0.0003509285
0.2984725 0.0003486207
0.3018127 0.0003480764
0.2970556 0.0003451837
0.3004422 0.0003415581
0.3105879 0.0003368567
0.3104993 0.0003404461
0.316397 0.0003327974
0.3153255 0.0003351693
0.3125294 0.0003385521
0.2994849 0.0003456885
0.3079703 0.000348376
0.3120365 0.0003584261
0.3112223 0.0003372845
0.3261922 0.0003336945
